market_name,genres,lengths,response_time,description,row_number,tagged_description
Hidden Hand Press - Poetry,Poetry Poetry Poetry General,Poetry,58 days,Note: submissions accepted in English and Spanish. We want new shocking writing that is different from mainstream prose and poetry.,11,11 Note: submissions accepted in English and Spanish. We want new shocking writing that is different from mainstream prose and poetry.
Hidden Peak Press - Fiction,"Novel, Story Collection Novel, Story Collection Novel, Story Collection General","Novel, Story Collection",11 days,"Note: Do not submit more than once in a six month period. We showcase gut-punch free verse and eye-opening prose from across the U.S. and abroad. We are the confluence of Charles Simic and Ray Bradbury, with pieces that leave you feeling like you need to re-read them again, right on the spot. A no-frills, cut-to-the-core publisher, Hidden Peak Press is the place for relevant, grounded, engaging and sublime literature.",12,"12 Note: Do not submit more than once in a six month period. We showcase gut-punch free verse and eye-opening prose from across the U.S. and abroad. We are the confluence of Charles Simic and Ray Bradbury, with pieces that leave you feeling like you need to re-read them again, right on the spot. A no-frills, cut-to-the-core publisher, Hidden Peak Press is the place for relevant, grounded, engaging and sublime literature."
Hidden Peak Press - Poetry,Poetry Poetry Poetry General,Poetry,4 days,"Note: Do not submit more than once in a six month period. We showcase gut-punch free verse and eye-opening prose from across the U.S. and abroad. We are the confluence of Charles Simic and Ray Bradbury, with pieces that leave you feeling like you need to re-read them again, right on the spot. A no-frills, cut-to-the-core publisher, Hidden Peak Press is the place for relevant, grounded, engaging and sublime literature.",13,"13 Note: Do not submit more than once in a six month period. We showcase gut-punch free verse and eye-opening prose from across the U.S. and abroad. We are the confluence of Charles Simic and Ray Bradbury, with pieces that leave you feeling like you need to re-read them again, right on the spot. A no-frills, cut-to-the-core publisher, Hidden Peak Press is the place for relevant, grounded, engaging and sublime literature."
Hidden Peak Review - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",21 days,"Note: Do not submit more than once in a six month period. We showcase gut-punch free verse and eye-opening prose from across the U.S. and abroad. We are the confluence of Charles Simic and Ray Bradbury, with pieces that leave you feeling like you need to re-read them again, right on the spot. A no-frills, cut-to-the-core publisher, Hidden Peak Press is the place for relevant, grounded, engaging and sublime literature.",14,"14 Note: Do not submit more than once in a six month period. We showcase gut-punch free verse and eye-opening prose from across the U.S. and abroad. We are the confluence of Charles Simic and Ray Bradbury, with pieces that leave you feeling like you need to re-read them again, right on the spot. A no-frills, cut-to-the-core publisher, Hidden Peak Press is the place for relevant, grounded, engaging and sublime literature."
Hidden Peak Review - Poetry,Poetry Poetry Poetry General,Poetry,4 days,"Note: Do not submit more than once in a six month period. We showcase gut-punch free verse and eye-opening prose from across the U.S. and abroad. We are the confluence of Charles Simic and Ray Bradbury, with pieces that leave you feeling like you need to re-read them again, right on the spot. A no-frills, cut-to-the-core publisher, Hidden Peak Press is the place for relevant, grounded, engaging and sublime literature. We want post-modern/post-post modern free verse with strong voices and strong themes.",15,"15 Note: Do not submit more than once in a six month period. We showcase gut-punch free verse and eye-opening prose from across the U.S. and abroad. We are the confluence of Charles Simic and Ray Bradbury, with pieces that leave you feeling like you need to re-read them again, right on the spot. A no-frills, cut-to-the-core publisher, Hidden Peak Press is the place for relevant, grounded, engaging and sublime literature. We want post-modern/post-post modern free verse with strong voices and strong themes."
Hindsight Journal - Poetry,Poetry Poetry Poetry General,Poetry,7 days,"Note: remove identifying information from manuscript for anonymous judging. 
                                                All submissions must be creative nonfiction. We fact-check all writing. We regard poetry as a genre of form, not of content, with strong poetry potentially including ""fiction."" We only publish creative nonfiction, however, whether in forms of prose or poetry.",16,"16 Note: remove identifying information from manuscript for anonymous judging. 
                                                All submissions must be creative nonfiction. We fact-check all writing. We regard poetry as a genre of form, not of content, with strong poetry potentially including ""fiction."" We only publish creative nonfiction, however, whether in forms of prose or poetry."
HOOT - Fiction,Flash Flash Flash General,Flash,34 days,"We will read all types of work. However, we especially like work that is audacious, surprising and zesty. Furthermore, we want this postcard to be shareable. Work thatÉ??s about the depressingness of gloomy alcohol clinking on the bottom of a shadowy glass in the gloaming after a fatherÉ??s death wouldnÉ??t work as well hanging from a fridge or tucked playfully in someoneÉ??s lunchbag. As youÉ??re submitting, remember the Refrigerator Rule. Ask yourself: É??Would someone want this hanging on their fridge?É?ù That said, if youÉ??ve got some melancholy work that is surprising and zesty and GOOD then we would be very excited to check it out.",18,"18 We will read all types of work. However, we especially like work that is audacious, surprising and zesty. Furthermore, we want this postcard to be shareable. Work thatÉ??s about the depressingness of gloomy alcohol clinking on the bottom of a shadowy glass in the gloaming after a fatherÉ??s death wouldnÉ??t work as well hanging from a fridge or tucked playfully in someoneÉ??s lunchbag. As youÉ??re submitting, remember the Refrigerator Rule. Ask yourself: É??Would someone want this hanging on their fridge?É?ù That said, if youÉ??ve got some melancholy work that is surprising and zesty and GOOD then we would be very excited to check it out."
HOOT - Poetry,Poetry Poetry Poetry General,Poetry,303 days,"We will read all types of work. However, we especially like work that is audacious, surprising and zesty. Furthermore, we want this postcard to be shareable. Work thatÉ??s about the depressingness of gloomy alcohol clinking on the bottom of a shadowy glass in the gloaming after a fatherÉ??s death wouldnÉ??t work as well hanging from a fridge or tucked playfully in someoneÉ??s lunchbag. As youÉ??re submitting, remember the Refrigerator Rule. Ask yourself: É??Would someone want this hanging on their fridge?É?ù That said, if youÉ??ve got some melancholy work that is surprising and zesty and GOOD then we would be very excited to check it out.",19,"19 We will read all types of work. However, we especially like work that is audacious, surprising and zesty. Furthermore, we want this postcard to be shareable. Work thatÉ??s about the depressingness of gloomy alcohol clinking on the bottom of a shadowy glass in the gloaming after a fatherÉ??s death wouldnÉ??t work as well hanging from a fridge or tucked playfully in someoneÉ??s lunchbag. As youÉ??re submitting, remember the Refrigerator Rule. Ask yourself: É??Would someone want this hanging on their fridge?É?ù That said, if youÉ??ve got some melancholy work that is surprising and zesty and GOOD then we would be very excited to check it out."
Horrific Scribes - Fiction,"Short Story Short Story Short Story Fantasy, Horror, Science Fiction",Short Story,24 days,"Horrific Scribes is an expanding online archive of dark short fiction (and some poetry) by various authors who share the Horrific Scribblings imprintÉ??s dedication to the provocative, scary, and strange.",20,"20 Horrific Scribes is an expanding online archive of dark short fiction (and some poetry) by various authors who share the Horrific Scribblings imprintÉ??s dedication to the provocative, scary, and strange."
Horrific Scribes - Poetry,"Poetry Poetry Poetry Fantasy, Horror, Science Fiction",Poetry,43 days,"Horrific Scribes is an expanding online archive of dark short fiction (and some poetry) by various authors who share the Horrific Scribblings imprintÉ??s dedication to the provocative, scary, and strange.",21,"21 Horrific Scribes is an expanding online archive of dark short fiction (and some poetry) by various authors who share the Horrific Scribblings imprintÉ??s dedication to the provocative, scary, and strange."
House of Long Shadows,"Short Story, Novelette Short Story, Novelette Short Story, Novelette General, Fantasy, Horror, Science Fiction","Short Story, Novelette",20 days,"Note: reprints are only considered if it has been ten years since publication and they are not available online. Note: payment will be via PayPal only. Trad Gothic. You know it when you see it: graveyards, decrepit mansions, ghosts, curses, doomed love, family secrets, ineffable wickedness, and occasionally mad science. Horror is the most famously Gothic genreÉ??and our number one aesthetic touchstone is horror cinema in the CormanÉ??Hammer veinÉ??but weÉ??re also open to family dramas, murder mysteries, and moody romance.1 Period or quasi-period settings (17th century through 1930s) are preferred, but accurate detail is not a priority. We are not a market for É??historical fictionÉ?ù per se.",22,"22 Note: reprints are only considered if it has been ten years since publication and they are not available online. Note: payment will be via PayPal only. Trad Gothic. You know it when you see it: graveyards, decrepit mansions, ghosts, curses, doomed love, family secrets, ineffable wickedness, and occasionally mad science. Horror is the most famously Gothic genreÉ??and our number one aesthetic touchstone is horror cinema in the CormanÉ??Hammer veinÉ??but weÉ??re also open to family dramas, murder mysteries, and moody romance.1 Period or quasi-period settings (17th century through 1930s) are preferred, but accurate detail is not a priority. We are not a market for É??historical fictionÉ?ù per se."
Humour Me Magazine - Fiction,"Short Story, Novelette, Novella, Flash Short Story, Novelette, Novella, Flash Short Story, Novelette, Novella, Flash Humor","Short Story, Novelette, Novella, Flash",34 days,"We are happy to accept all types of humour, from sharp satire to slapstick.",23,"23 We are happy to accept all types of humour, from sharp satire to slapstick."
Lady Churchill's Rosebud Wristlet - Fiction,"Short Story, Novelette, Novella, Flash Short Story, Novelette, Novella, Flash Short Story, Novelette, Novella, Flash General, Fantasy, Science Fiction","Short Story, Novelette, Novella, Flash",189 days,The fiction we publish most of tends toward but is not limited to the speculative.,24,24 The fiction we publish most of tends toward but is not limited to the speculative.
Lady Churchill's Rosebud Wristlet - Poetry,"Poetry Poetry Poetry General, Fantasy, Science Fiction",Poetry,126 days,The fiction we publish most of tends toward but is not limited to the speculative.,25,25 The fiction we publish most of tends toward but is not limited to the speculative.
Lake Country Press,"Novel Novel Novel General, Erotica, Fantasy, Horror, Romance, Historical, Young Adult",Novel,4 days,"Note: may not reply in case of rejection. Romance, Fantasy, Urban Fantasy, (contemporary, historical, dark, paranormal, essentially all romance sub-genres), Gothic Horror, RomComs ? New Adult-Adult categories, however, will consider exceptional Young Adult manuscripts or ones with  New Adult crossover appeal for our YA collection, Lake Country Press TEEN. ? ? Lake Country Press MIDNIGHT LCP Midnight is our 18+ ONLY super spicy collection. All books require content/trigger warnings. Genres for LCP Midnight: Fantasy Romance, Monster Romance, Bully Romance, Contemporary Romance, Historical Romance, Erotica",26,"26 Note: may not reply in case of rejection. Romance, Fantasy, Urban Fantasy, (contemporary, historical, dark, paranormal, essentially all romance sub-genres), Gothic Horror, RomComs ? New Adult-Adult categories, however, will consider exceptional Young Adult manuscripts or ones with  New Adult crossover appeal for our YA collection, Lake Country Press TEEN. ? ? Lake Country Press MIDNIGHT LCP Midnight is our 18+ ONLY super spicy collection. All books require content/trigger warnings. Genres for LCP Midnight: Fantasy Romance, Monster Romance, Bully Romance, Contemporary Romance, Historical Romance, Erotica"
Lake Effect - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General, Literary","Flash, Short Story",222 days,"Lake Effect is looking for stories that emerge from character and language as much as from plot. Lake Effect does not, in general, publish genre fiction, but literary fiction.",27,"27 Lake Effect is looking for stories that emerge from character and language as much as from plot. Lake Effect does not, in general, publish genre fiction, but literary fiction."
Lake Effect - Poetry,Poetry Poetry Poetry General,Poetry,9 days,"Lake Effect is looking for poems that demonstrate an original voice and that use multi-layered, evocative images presented in a language shaped by an awareness of how words sound and mean.",29,"29 Lake Effect is looking for poems that demonstrate an original voice and that use multi-layered, evocative images presented in a language shaped by an awareness of how words sound and mean."
Landfall - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story Literary","Flash, Short Story",111 days,Note: translations only from te reo Maori. No description available.,30,30 Note: translations only from te reo Maori. No description available.
Lascivity - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story Erotica","Flash, Short Story",17 days,"Note: will not respond in the case of rejection; assume rejection after two weeks We fundamentally believe that writing about sex is important. Dirty stories deserve the same craft and attention as literary ones. Smut is a valid art form. Erotica doesnÉ??t have to be trashy or stupid. The badly-researched Cosmopolitan article is not the best we, as a culture, can do. Everything I publish features kink in some way. This isnÉ??t a market for vanilla erotica, nor do I seek generic sex and relationship articles. I welcome darker erotica and essays which tackle complex subjects.",31,"31 Note: will not respond in the case of rejection; assume rejection after two weeks We fundamentally believe that writing about sex is important. Dirty stories deserve the same craft and attention as literary ones. Smut is a valid art form. Erotica doesnÉ??t have to be trashy or stupid. The badly-researched Cosmopolitan article is not the best we, as a culture, can do. Everything I publish features kink in some way. This isnÉ??t a market for vanilla erotica, nor do I seek generic sex and relationship articles. I welcome darker erotica and essays which tackle complex subjects."
Last Girls Club - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story Fantasy, Horror, Science Fiction","Flash, Short Story",51 days,"Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: No more than two fiction stories per author per submission period. I want stories from the female gaze (think Aliens, Resident Evil, Hereditary, Tank Girl). IÉ??m tired of reading what men want to do to us. I want to read what we want to do to them. Bring me smart female protagonists whose first inclinations are  not to seduce the guard to get out of situations; theyÉ??ve got skills, they can get violent easily. IÉ??m fine with them developing over the course of the story into someone like that, but please donÉ??t revert to clich??s unless you have your tongue firmly in your cheek. Please donÉ??t use graphic rape for fridging purposes. If itÉ??s part of a characterÉ??s backstory or development, fine, but donÉ??t shoot the damn dog just to piss off your main character.  My focus is horror, supernatural, and creeping dread. I always love a bit of sci-fi or dystopia, but itÉ??s not our focus, so if itÉ??s your venue, make it scary. If you spackle a layer of womenÉ??s issues into it, even better; disenfranchisement, slut-shaming, trans violence, racism, misogyny, sex work exploitation, inequitable emotional work and housework, whatever exists in this world that pisses you off, feel free to put a metaphorical ax between its eyebrows. Please include an appropriate trigger warning in italics at top of your story for our readers.",32,"32 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: No more than two fiction stories per author per submission period. I want stories from the female gaze (think Aliens, Resident Evil, Hereditary, Tank Girl). IÉ??m tired of reading what men want to do to us. I want to read what we want to do to them. Bring me smart female protagonists whose first inclinations are  not to seduce the guard to get out of situations; theyÉ??ve got skills, they can get violent easily. IÉ??m fine with them developing over the course of the story into someone like that, but please donÉ??t revert to clich??s unless you have your tongue firmly in your cheek. Please donÉ??t use graphic rape for fridging purposes. If itÉ??s part of a characterÉ??s backstory or development, fine, but donÉ??t shoot the damn dog just to piss off your main character.  My focus is horror, supernatural, and creeping dread. I always love a bit of sci-fi or dystopia, but itÉ??s not our focus, so if itÉ??s your venue, make it scary. If you spackle a layer of womenÉ??s issues into it, even better; disenfranchisement, slut-shaming, trans violence, racism, misogyny, sex work exploitation, inequitable emotional work and housework, whatever exists in this world that pisses you off, feel free to put a metaphorical ax between its eyebrows. Please include an appropriate trigger warning in italics at top of your story for our readers."
Last Girls Club - Poetry,"Poetry Poetry Poetry Fantasy, Horror, Science Fiction",Poetry,48 days,"Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
                        I want stories from the female gaze (think Aliens, Resident Evil, Hereditary, Tank Girl). IÉ??m tired of reading what men want to do to us. I want to read what we want to do to them. Bring me smart female protagonists whose first inclinations are  not to seduce the guard to get out of situations; theyÉ??ve got skills, they can get violent easily. IÉ??m fine with them developing over the course of the story into someone like that, but please donÉ??t revert to clich??s unless you have your tongue firmly in your cheek. Please donÉ??t use graphic rape for fridging purposes. If itÉ??s part of a characterÉ??s backstory or development, fine, but donÉ??t shoot the damn dog just to piss off your main character.  My focus is horror, supernatural, and creeping dread. I always love a bit of sci-fi or dystopia, but itÉ??s not our focus, so if itÉ??s your venue, make it scary. If you spackle a layer of womenÉ??s issues into it, even better; disenfranchisement, slut-shaming, trans violence, racism, misogyny, sex work exploitation, inequitable emotional work and housework, whatever exists in this world that pisses you off, feel free to put a metaphorical ax between its eyebrows. Please include an appropriate trigger warning in italics at top of your story for our readers.",33,"33 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
                        I want stories from the female gaze (think Aliens, Resident Evil, Hereditary, Tank Girl). IÉ??m tired of reading what men want to do to us. I want to read what we want to do to them. Bring me smart female protagonists whose first inclinations are  not to seduce the guard to get out of situations; theyÉ??ve got skills, they can get violent easily. IÉ??m fine with them developing over the course of the story into someone like that, but please donÉ??t revert to clich??s unless you have your tongue firmly in your cheek. Please donÉ??t use graphic rape for fridging purposes. If itÉ??s part of a characterÉ??s backstory or development, fine, but donÉ??t shoot the damn dog just to piss off your main character.  My focus is horror, supernatural, and creeping dread. I always love a bit of sci-fi or dystopia, but itÉ??s not our focus, so if itÉ??s your venue, make it scary. If you spackle a layer of womenÉ??s issues into it, even better; disenfranchisement, slut-shaming, trans violence, racism, misogyny, sex work exploitation, inequitable emotional work and housework, whatever exists in this world that pisses you off, feel free to put a metaphorical ax between its eyebrows. Please include an appropriate trigger warning in italics at top of your story for our readers."
Last Leaves Magazine,Poetry Poetry Poetry General,Poetry,52 days,"Note: remove identifying information from manuscript for anonymous judging. 
 Note: submit once per issue. We donÉ??t have a type. Send us your beautiful, send us your raw, send us your quirky, send us your best.",34,"34 Note: remove identifying information from manuscript for anonymous judging. 
 Note: submit once per issue. We donÉ??t have a type. Send us your beautiful, send us your raw, send us your quirky, send us your best."
Leading Edge - Fiction,"Short Story, Novelette Short Story, Novelette Short Story, Novelette Fantasy, Science Fiction","Short Story, Novelette",255 days,Leading Edge is a science-fiction and fantasy magazine that publishes the work of people from all over the world.,35,35 Leading Edge is a science-fiction and fantasy magazine that publishes the work of people from all over the world.
L'Esprit Literary Review - Fiction,"Flash, Novel Excerpt, Short Story Flash, Novel Excerpt, Short Story Flash, Novel Excerpt, Short Story Literary","Flash, Novel Excerpt, Short Story",9 days,"LÉ??Esprit Literary Review publishes work written in the fearless, risk-adept, and revolutionary spirit of High Modernism.",36,"36 LÉ??Esprit Literary Review publishes work written in the fearless, risk-adept, and revolutionary spirit of High Modernism."
Level Best Books - Fiction,"Novel, Story Collection Novel, Story Collection Novel, Story Collection Mystery/Crime, Suspense/Thriller, Historical","Novel, Story Collection",121 days,"We are seeking crime fiction novels in the following categories: mystery, thriller, suspense, historical, traditional, and contemporary. We are also interested in non-fiction works related to the mystery and crime writing community, or collections of short stories or multi-authored anthologies.",37,"37 We are seeking crime fiction novels in the following categories: mystery, thriller, suspense, historical, traditional, and contemporary. We are also interested in non-fiction works related to the mystery and crime writing community, or collections of short stories or multi-authored anthologies."
Liber Review - Poetry,Poetry Poetry Poetry General,Poetry,67 days,"LIBER is a broadly feminist publication that welcomes timely reviews and essays on forthcoming books of all genres. Our interest is in feminist theory, culture, history, and publishing, though we welcome submissions that use a feminist lens to analyze works that are not explicitly feminist. Although primarily a review, we also publish poetry, comics, personal or hybrid essays, photo essays, and long-form reported features on topics related to feminist history and publishing.",38,"38 LIBER is a broadly feminist publication that welcomes timely reviews and essays on forthcoming books of all genres. Our interest is in feminist theory, culture, history, and publishing, though we welcome submissions that use a feminist lens to analyze works that are not explicitly feminist. Although primarily a review, we also publish poetry, comics, personal or hybrid essays, photo essays, and long-form reported features on topics related to feminist history and publishing."
Life in Limbo - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General","Flash, Short Story, Novelette, Novella",19 days,"Life in Limbo is a magazine dedicated to chronicling the experience of mental illness and trauma, more interested in truth and raw emotion than literary verbiage.",39,"39 Life in Limbo is a magazine dedicated to chronicling the experience of mental illness and trauma, more interested in truth and raw emotion than literary verbiage."
Life in Limbo - Poetry,Poetry Poetry Poetry General,Poetry,16 days,"Life in Limbo is a magazine dedicated to chronicling the experience of mental illness and trauma, more interested in truth and raw emotion than literary verbiage.",40,"40 Life in Limbo is a magazine dedicated to chronicling the experience of mental illness and trauma, more interested in truth and raw emotion than literary verbiage."
Light Poetry,Flash Flash Flash Humor,Flash,85 days,"Note: remove identifying information from manuscript for anonymous judging. 
                                                Light, formerly known as Light Quarterly, is a journal of humorous poetry. We're open to work from the left or the right, to formal or free verse, refined or with bite, to thought that's like ours or that's different by half: we just want good stuff that'll make people laugh.",41,"41 Note: remove identifying information from manuscript for anonymous judging. 
                                                Light, formerly known as Light Quarterly, is a journal of humorous poetry. We're open to work from the left or the right, to formal or free verse, refined or with bite, to thought that's like ours or that's different by half: we just want good stuff that'll make people laugh."
Lilith Magazine - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",1 days,"Note: may not respond in the case of rejection; assume rejection after 6 weeks. Lilith Magazine is looking for unpublished original stories with heart, soul and chutzpah, illuminating issues in the lives of Jewish women.",42,"42 Note: may not respond in the case of rejection; assume rejection after 6 weeks. Lilith Magazine is looking for unpublished original stories with heart, soul and chutzpah, illuminating issues in the lives of Jewish women."
Lily Poetry - Poetry,"Poetry Poetry Poetry General, Literary",Poetry,28 days,"Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: wait 3 months between submissions. Committed to poets, poems and literary citizenship",43,"43 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: wait 3 months between submissions. Committed to poets, poems and literary citizenship"
