row_number,market_name,genres,response_time,url of thumbnail,acceptance rate,followers,founded,country,description,submission_guidelines,tagged_description
11,"Action, Spectacle","Fiction, Nonfiction, Poetry, Hybrid, Multimedia",17 days,https://cdn.duotrope.com/covers/24021-2506170050153.png,19.44%,4000,2022,United States,"Action, Spectacle welcomes submissions via Submittable year-round, in English and previously unpublished. Simultaneous and unsolicited submissions are encouraged as long as we are notified immediately if the manuscript is accepted for publication elsewhere. ?We employ the broadest possible aesthetic when we read. We encourage submissions of work that is more traditional or explicitly experimental, linear or non-linear, concrete or abstract, narrative or gestural, concerned with the natural world, the self, urban spaces, history, &c.",https://theomginc.wixstudio.com/action-spectacle/blank-2,"11Action, Spectacle welcomes submissions via Submittable year-round, in English and previously unpublished. Simultaneous and unsolicited submissions are encouraged as long as we are notified immediately if the manuscript is accepted for publication elsewhere. ?We employ the broadest possible aesthetic when we read. We encourage submissions of work that is more traditional or explicitly experimental, linear or non-linear, concrete or abstract, narrative or gestural, concerned with the natural world, the self, urban spaces, history, &c."
12,3elements literary review,"Fiction, Nonfiction, Multimedia, Poetry",12 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fee8fabab-6341-4936-87a5-1e5bd53ddd65.png&w=256&q=75,13.43%,2000,2013,United States,"We appreciate good writing in any genre. We especially like edgy writing that offers insight into darkness. We prefer character-driven stories as opposed to plot-driven ones. We relish a piece with a great deal of heart and more than a little bit of Truth (note the capital ""T""). We want to read a story that makes us feel edified or philosophical or amused or creeped out or angry or melancholy or inspired or, best yet, all of these things together. We want to read a story we simply can?t put down. We generally don?t enjoy science fiction, unless a particularly well-written story rises above the ordinary to engage the heart as well as the mind. We despise clich. We find stories that include gratuitous violence distasteful. Sexism, racism, or other forms of intolerance are intolerable to us. That said, you can certainly reveal a character through his/her prejudices; just don't use a story to perpetuate negative stereotypes or ignorance. The world is already bursting with both.",https://3elementsreview.com/submission-guidelines,"12We appreciate good writing in any genre. We especially like edgy writing that offers insight into darkness. We prefer character-driven stories as opposed to plot-driven ones. We relish a piece with a great deal of heart and more than a little bit of Truth (note the capital ""T""). We want to read a story that makes us feel edified or philosophical or amused or creeped out or angry or melancholy or inspired or, best yet, all of these things together. We want to read a story we simply can?t put down. We generally don?t enjoy science fiction, unless a particularly well-written story rises above the ordinary to engage the heart as well as the mind. We despise clich. We find stories that include gratuitous violence distasteful. Sexism, racism, or other forms of intolerance are intolerable to us. That said, you can certainly reveal a character through his/her prejudices; just don't use a story to perpetuate negative stereotypes or ignorance. The world is already bursting with both."
13,Agapanthus Collective,"Fiction, Nonfiction, Multimedia, Poetry, Hybrid",83 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Feab9e774-ba98-49e1-8e91-e5561ab89e64.png&w=256&q=75,58.62%,2000,2020,United States,"?Agapanthus? Amaryllidaceae agapanthus From the Greek Roots ?Agape?, meaning ?the highest form of love, selfless love?, and ?Anthos?, meaning ?flower? Lit. Meaning: Flower of Love ? We believe that all literary works ? be it three lines of the weirdest micro poetry, or pages upon pages of speculative fiction ? are born out of love; be it the labor of love put into every character and every word, or a testament of love to a higher concept, or even another individual. Literary works need not be about love to be still be full of love, care, and consideration. As such, it is our policy to treat each work with equal care by reading blind, and giving as much feedback (if desired) as possible to every work we receive. ? As a small group, we publish biannual online collections of works, as well as a myriad of works on our website weekly.",https://www.agapanthuscollective.com/submit/,"13?Agapanthus? Amaryllidaceae agapanthus From the Greek Roots ?Agape?, meaning ?the highest form of love, selfless love?, and ?Anthos?, meaning ?flower? Lit. Meaning: Flower of Love ? We believe that all literary works ? be it three lines of the weirdest micro poetry, or pages upon pages of speculative fiction ? are born out of love; be it the labor of love put into every character and every word, or a testament of love to a higher concept, or even another individual. Literary works need not be about love to be still be full of love, care, and consideration. As such, it is our policy to treat each work with equal care by reading blind, and giving as much feedback (if desired) as possible to every work we receive. ? As a small group, we publish biannual online collections of works, as well as a myriad of works on our website weekly."
14,Ionosphere,"Nonfiction, Poettry",76 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F125a4083-abb3-4e0d-a7ff-c10f3b6e7ce5.png&w=256&q=75,72.73%,200,2023,United kingdom,"Our literary journal, ionosphere, focuses on the relationship between science, technology, and the human experience. We welcome submissions in a variety of styles and forms, from traditional to experimental, and are encouraging submissions from writers of all backgrounds. If you have work that fits these themes, we encourage you to submit it for consideration.",https://ampliconpress.com/submit-to-ionosphere,"14Our literary journal, ionosphere, focuses on the relationship between science, technology, and the human experience. We welcome submissions in a variety of styles and forms, from traditional to experimental, and are encouraging submissions from writers of all backgrounds. If you have work that fits these themes, we encourage you to submit it for consideration."
15,Across the margin,"Fiction, Nonnfiction, Poetry",14 days,https://cdn.duotrope.com/covers/17034-2506242301115.png,31.21%,"50,000",2012,United States,"Simply put, Across the Margin is an online Arts & Culture magazine / publishing company / media group. Within these ?pages? can be found an eclectic mix of fiction, criticism, essays, satire, poetry, podcasts, and more that explore the current state of the world around us, and the depths of our human nature.",https://ampliconpress.com/submit,"15Simply put, Across the Margin is an online Arts & Culture magazine / publishing company / media group. Within these ?pages? can be found an eclectic mix of fiction, criticism, essays, satire, poetry, podcasts, and more that explore the current state of the world around us, and the depths of our human nature."
16,Asymptote Journal,"Fiction, Nonfiction, Poetry, Multimedia",28 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Faccfec35-398f-47f1-ab5e-84934f7ff6ef.png&w=256&q=75,14.29%,"20,000",2010,Taiwan,"We take our name from the dotted line on a graph that a mathematical function may tend toward, but never reach. Similarly, a translated text may never fully replicate the effect of the original; it is its own creative act. Our mission is simple: to unlock the literary treasures of the world. To date, our magazine has featured work from 128 countries and 115 languages, all never-before-published poetry, fiction, nonfiction, drama, and interviews by writers and translators such as Haruki Murakami, Lydia Davis, L szl¢ Krasznahorkai, Geetanjali Shree, Michael Hofmann, Mary Gaitskill, Csar Aira, Thomas Bernhard, Valeria Luiselli, Toma? ?alamun, Adonis, Chang Kuei-hsin, Dubravka Ugre?i?, Viet Thanh Nguyen, Kim Hyesoon, Edith Grossman, Can Xue, Eliot Weinberger, Mircea C?rt?rescu, Etel Adnan, Yiyun Li, Mahmoud Dowlatabadi, Douglas Kearney, and Bruno Latour. We are proud to count among our contributors 17 Nobel Prizewinners (including Olga Tokarczuk, before she became the 2018 laureate).",https://acrossthemargin.com/submit/,"16We take our name from the dotted line on a graph that a mathematical function may tend toward, but never reach. Similarly, a translated text may never fully replicate the effect of the original; it is its own creative act. Our mission is simple: to unlock the literary treasures of the world. To date, our magazine has featured work from 128 countries and 115 languages, all never-before-published poetry, fiction, nonfiction, drama, and interviews by writers and translators such as Haruki Murakami, Lydia Davis, L szl¢ Krasznahorkai, Geetanjali Shree, Michael Hofmann, Mary Gaitskill, Csar Aira, Thomas Bernhard, Valeria Luiselli, Toma? ?alamun, Adonis, Chang Kuei-hsin, Dubravka Ugre?i?, Viet Thanh Nguyen, Kim Hyesoon, Edith Grossman, Can Xue, Eliot Weinberger, Mircea C?rt?rescu, Etel Adnan, Yiyun Li, Mahmoud Dowlatabadi, Douglas Kearney, and Bruno Latour. We are proud to count among our contributors 17 Nobel Prizewinners (including Olga Tokarczuk, before she became the 2018 laureate)."
17,The Bangalore Review,"Fiction, Nonfiction, Poetry",163 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fc4cac744-714a-4842-b86b-877ea6952055.png&w=256&q=75,37.93%,2000,2013,India,"One day in the summer of 2013, three friends came together to discuss their common interests in literature, arts, philosophy, and culture. Towards midnight when the discussion ended, the spark of an idea had formed within the three, which would keep them awake through the rest of the night. And that is how The Bangalore Review began.The Bangalore Review is a monthly online magazine aimed at promoting literature, arts, culture, criticism, and philosophy at a deeper level. Conforming to our mission of giving back to society, the magazine will remain a non-profit venture and is currently managed by Spanning Minds, Inc. (USA).",https://bangalorereview.com/submissions/,"17One day in the summer of 2013, three friends came together to discuss their common interests in literature, arts, philosophy, and culture. Towards midnight when the discussion ended, the spark of an idea had formed within the three, which would keep them awake through the rest of the night. And that is how The Bangalore Review began.The Bangalore Review is a monthly online magazine aimed at promoting literature, arts, culture, criticism, and philosophy at a deeper level. Conforming to our mission of giving back to society, the magazine will remain a non-profit venture and is currently managed by Spanning Minds, Inc. (USA)."
19,Aurore,Nonfiction,17 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fb3e40e64-223b-4383-ae86-4718e942c4f9.png&w=256&q=75,100.00%,"20,000",2019,United States,"AURORE is real, non-fiction erotica, written by amateurs?not to suggest our writers aren?t brilliant, they are, but don?t expect to find anything formulaic or tired here. 
Our favorite erotic stories are emotional and raw, so we work one-on-one with writers to create complex stories that take a positive stance on sex, while remaining wildly relatable.We?re committed to representing voices outside the mainstream, to creating the content we want to consume: sensual, intelligent, sexy stories by feminist and LGBTQ+ writers. And yes! You can use a pen name.",https://readaurore.com/submit,"18AURORE is real, non-fiction erotica, written by amateurs?not to suggest our writers aren?t brilliant, they are, but don?t expect to find anything formulaic or tired here.
Our favorite erotic stories are emotional and raw, so we work one-on-one with writers to create complex stories that take a positive stance on sex, while remaining wildly relatable.We?re committed to representing voices outside the mainstream, to creating the content we want to consume: sensual, intelligent, sexy stories by feminist and LGBTQ+ writers. And yes! You can use a pen name"
19,The Belfast Review,"Fiction, Nonfiction, Poetry, Multimedia",60 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F527eb094-7441-468a-b382-8fd03ee6752f.png&w=256&q=75,50.00%,"1,500",2023,Northern Ireland,"Based in Belfast, Northern Ireland, we are an international team of creatives committed to championing the arts as an important part of the peace and reconciliation process, both at home and around the world. We believe in the human spirit's potential for creativity, resilience, and healing. The future is what we create, here and now. The future is ""us.""",https://thebelfastreview.wixsite.com/home/submissions,"19Based in Belfast, Northern Ireland, we are an international team of creatives committed to championing the arts as an important part of the peace and reconciliation process, both at home and around the world. We believe in the human spirit's potential for creativity, resilience, and healing. The future is what we create, here and now. The future is ""us."""
20,African Writer,"Fiction, Nonfiction, Poetry",30 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F47b24d03-b331-4f7f-b39a-e112e939bf14.png&w=256&q=75,60.00%,2000,2001,Nigeria,"African Writer Magazine is a New Jersey-based monthly publication that celebrates established and emerging African writers, literature and ideas. For two decades, we have laid out a conspicuous platform showcasing the best of contributions from African Writers worldwide. The website is wholly powered by volunteers. We?ve been here a while. The actual journey started in 2001 as the Writers Write section of another website, the now defunct Nigeriansinamerica.com. Back then, Chinua Achebe and Wole Soyinka were arguably the only African writers mentioned online.",https://www.africanwriter.com/submissions/,"20African Writer Magazine is a New Jersey-based monthly publication that celebrates established and emerging African writers, literature and ideas. For two decades, we have laid out a conspicuous platform showcasing the best of contributions from African Writers worldwide. The website is wholly powered by volunteers. We?ve been here a while. The actual journey started in 2001 as the Writers Write section of another website, the now defunct Nigeriansinamerica.com. Back then, Chinua Achebe and Wole Soyinka were arguably the only African writers mentioned online."
21,ONE ART: a journal of poetry,Poetry,3 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F463037f7-3148-45ae-a00d-7d7891604b61.png&w=256&q=75,8.27%,6000,2020,United States,"We aim to publish poetry that adds value to the life of our readers.We hope to offer, sustain, and nourish a kind, inviting, and thoughtful community.We remain pleased and humbled to have been listed as one of the best poetry magazines by Book Riot.",https://oneartpoetry.com/submissions/,"21We aim to publish poetry that adds value to the life of our readers.We hope to offer, sustain, and nourish a kind, inviting, and thoughtful community.We remain pleased and humbled to have been listed as one of the best poetry magazines by Book Riot."
22,Waxwing literary Journal,"Fiction, Multimedia, Nonfiction, Poetry, Hybrid",100 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fe3e5a655-1f7c-4436-9149-a4070885b46f.png&w=256&q=75,4.55%,"10,000",2013,United States,"It is the editors? belief that American literature is thriving, both in terms of aesthetics and cultural inclusiveness. Waxwing believes that American voices are, at their cores, both multicultural and multinational, and so the editors? mission is to include American writers from all cultural identities ? in terms of race, ethnicity, indigenous tribe, gender, class, sexuality, age, education, ability, language, religion, and region ? alongside international voices, published bilingually. Waxwing aims to broadcast as widely as possible, in each and every issue, singular voices ? and to hear these voices together, in all their harmony and dissonance.",https://waxwing.submittable.com/submit,"22It is the editors? belief that American literature is thriving, both in terms of aesthetics and cultural inclusiveness. Waxwing believes that American voices are, at their cores, both multicultural and multinational, and so the editors? mission is to include American writers from all cultural identities ? in terms of race, ethnicity, indigenous tribe, gender, class, sexuality, age, education, ability, language, religion, and region ? alongside international voices, published bilingually. Waxwing aims to broadcast as widely as possible, in each and every issue, singular voices ? and to hear these voices together, in all their harmony and dissonance."
23,Muzzle Magazine,Poetry,111 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F6771d1a5-7378-45e3-a1d3-e521422495d1.png&w=256&q=75,1.84%,6000,2010,United States,"Muzzle Magazine is an online literary magazine focused on poetry and reviews, known for publishing work that is revolutionary, revelatory, and rooted in diverse voices. 
Established in 2010, it is recognized for its commitment to uplifting marginalized communities, prioritizing submissions by BIPOC, LGBTQIA+, and disabled authors.
For the past decade, Muzzle Magazine has published writing of revolution and revelation, and in 2020, on the precipice of a new decade, we will continue seeking submissions that move us not just in feeling, but also in intention.
We resist the notion that a journal must have a fixed aesthetic, or that submissions for a new issue should mimic the style or approach of poems in previous issues. Instead, we are looking for poems that move (us) beyond.",https://www.muzzlemagazine.com/submissions.html,"23Muzzle Magazine is an online literary magazine focused on poetry and reviews, known for publishing work that is revolutionary, revelatory, and rooted in diverse voices. 
Established in 2010, it is recognized for its commitment to uplifting marginalized communities, prioritizing submissions by BIPOC, LGBTQIA+, and disabled authors.
For the past decade, Muzzle Magazine has published writing of revolution and revelation, and in 2020, on the precipice of a new decade, we will continue seeking submissions that move us not just in feeling, but also in intention.
We resist the notion that a journal must have a fixed aesthetic, or that submissions for a new issue should mimic the style or approach of poems in previous issues. Instead, we are looking for poems that move (us) beyond."
24,The cryptonaturalist,"Fiction, Nonfiction, Poetry",27 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F6f435c67-bb6d-4ffd-b442-1c53d72a1ac2.png&w=256&q=75,66.67%,"200,000",2024,United States,"The CryptoNaturalist podcast is a scripted, audio-fiction show in the tradition of classic nature documentaries, but profoundly weirder. The podcast has been called ""Night Vale meets A Prairie Home Companion"" and ""David Attenborough meets The X Files."" The CryptoNaturalist loves cryptids (hidden creatures like Big Foot), but focuses solely on creatures you've never encountered before. 

Expect new and amazing animals, otherworldly locations, earnest love for the natural world, featured fiction and poetry from talented contributors, and field reports from fascinating lovers of strange nature. Guest voices have been provided by folks like Hank Green, Justin McElroy, and Cecil Baldwin.",https://www.cryptonaturalist.com/about,"24The CryptoNaturalist podcast is a scripted, audio-fiction show in the tradition of classic nature documentaries, but profoundly weirder. The podcast has been called ""Night Vale meets A Prairie Home Companion"" and ""David Attenborough meets The X Files."" The CryptoNaturalist loves cryptids (hidden creatures like Big Foot), but focuses solely on creatures you've never encountered before. Expect new and amazing animals, otherworldly locations, earnest love for the natural world, featured fiction and poetry from talented contributors, and field reports from fascinating lovers of strange nature. Guest voices have been provided by folks like Hank Green, Justin McElroy, and Cecil Baldwin."
